"","X","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","spatialResolution","taxon","numPredictors","trainingExamples","cells","cores","GBMemory","ID_unit","Prob","Stratum"
"229",4509,11.447,4.09400000000005,5.34000000000003,1.98500000000001,0.699386581971445,1,"Picea",5,50,8750,2,9,4509,0.1,229
"230",4537,93.6900000000001,72.7009999999999,18.8810000000001,2.07299999999998,0.770351767753106,0.25,"Picea",5,1000,140000,2,9,4537,0.1,230
"231",4447,121.016,108.953,9.95599999999996,2.07400000000001,0.771946795336912,1,"Picea",5,1000,8750,2,9,4447,0.1,231
"232",4458,154.354,72.861,79.171,2.28299999999996,0.780329722557033,0.1,"Picea",5,1000,875000,2,9,4458,0.1,232
"233",4529,81.4450000000001,24.5410000000001,54.7569999999999,2.11700000000008,0.755033491498116,0.1,"Picea",5,500,875000,2,9,4529,0.1,233
"234",4636,73.626,24.289,47.458,1.85199999999998,0.750784434751026,0.1,"Picea",5,500,875000,2,12,4636,0.1,234
"235",4643,12.763,1.005,9.83899999999994,1.89100000000008,0.70117817203103,0.1,"Picea",5,50,875000,2,12,4643,0.142857142857143,235
"236",4647,46.1270000000001,28.462,15.5120000000001,2.12300000000005,0.746758158525959,0.25,"Picea",5,500,140000,2,12,4647,0.1,236
"237",4580,28.351,20.25,6.07299999999998,1.99799999999999,0.757725808428314,1,"Picea",5,500,8750,2,12,4580,0.1,237
"238",4549,8.721,1.23400000000001,5.50200000000001,1.95699999999999,0.701690827599489,0.25,"Picea",5,50,140000,2,12,4549,0.111111111111111,238
"239",4620,123.005,107.725,12.771,2.476,0.767039226978038,0.5,"Picea",5,1000,35000,2,12,4620,0.1,239
"240",4605,37.495,27.154,8.226,2.08299999999997,0.762120993658013,0.5,"Picea",5,500,35000,2,12,4605,0.1,240
"241",4655,90.444,79.692,8.74599999999998,1.96299999999997,0.776974212919285,1,"Picea",5,1000,8750,2,12,4655,0.1,241
"242",4587,9.04000000000002,1.52000000000004,5.46199999999999,2.024,0.726510062983655,0.5,"Picea",5,50,35000,2,12,4587,0.111111111111111,242
"243",4641,94.1850000000001,72.046,19.8969999999999,2.20300000000009,0.776109997855313,0.25,"Picea",5,1000,140000,2,12,4641,0.1,243
"244",4652,171.734,77.7800000000001,91.6319999999999,2.27700000000004,0.779736002416093,0.1,"Picea",5,1000,875000,2,12,4652,0.1,244
"245",4607,14.441,5.875,6.41700000000003,2.101,0.723685291269571,1,"Picea",5,50,8750,2,12,4607,0.1,245
"246",4689,7.72800000000001,1.351,4.62599999999998,1.71899999999999,0.710632296663008,0.5,"Picea",5,50,35000,4,4,4689,0.1,246
"247",4740,7.14499999999998,0.998000000000047,4.07300000000009,2.03999999999996,0.715471994887264,1,"Picea",5,50,8750,4,4,4740,0.111111111111111,247
"248",4688,34.177,24.2329999999999,8.36700000000002,1.54900000000004,0.763986231693414,0.5,"Picea",5,500,35000,4,4,4688,0.1,248
"249",4773,12.5989999999999,0.906000000000176,9.72699999999986,1.93399999999997,0.693817361545223,0.1,"Picea",5,50,875000,4,4,4773,0.1,249
"250",4767,31.134,22.6890000000001,6.78199999999993,1.63100000000009,0.773187433445019,1,"Picea",5,500,8750,4,4,4767,0.1,250
"251",4755,146.971,128.806,16.1750000000002,1.95399999999995,0.775041652576165,0.5,"Picea",5,1000,35000,4,4,4755,0.1,251
"252",4687,92.052,80.247,9.928,1.84100000000001,0.76720328795251,1,"Picea",5,1000,8750,4,4,4687,0.1,252
"253",4748,47.674,29.2330000000002,16.463,1.94499999999994,0.754791355771174,0.25,"Picea",5,500,140000,4,4,4748,0.1,253
"254",4733,13.8579999999999,3.03800000000001,8.71299999999997,2.07500000000005,0.664923225709075,0.25,"Picea",5,50,140000,4,4,4733,0.111111111111111,254
"255",4713,122.651,98.5309999999999,22.548,1.53499999999997,0.775364111306152,0.25,"Picea",5,1000,140000,4,4,4713,0.1,255
"256",4710,187.95,93.398,92.38,2.13600000000008,0.776622482818625,0.1,"Picea",5,1000,875000,4,4,4710,0.1,256
"257",4735,45.2190000000001,12.3970000000002,31.1009999999999,1.69100000000003,0.761746449651275,0.1,"Picea",5,500,875000,4,4,4735,0.1,257
