"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","numTrees","cores","GBMemory","taxon","method","trainingExamples","spatialResolution","numPredictors","cells"
"187",120.42,75.106,43.23,2.06200000000001,0.783776610949479,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"188",99.939,59.436,38.4839999999999,1.99099999999999,0.783494208841227,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"189",100.168,60.106,38.0790000000002,1.96100000000001,0.792328875697618,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"190",124.362,77.5919999999999,44.7270000000001,2.01999999999998,0.778118838663954,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"191",102.845,61.7360000000001,38.7139999999999,2.36799999999994,0.791766460250713,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"192",116.598,70.6770000000001,43.8519999999999,2.04300000000012,0.786851769224376,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"193",102.754,91.924,8.54299999999989,2.24299999999994,0.863976039272085,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"194",96.5999999999999,86.9179999999999,7.64499999999998,1.97800000000007,0.869516029390065,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"195",90.672,81.018,7.63599999999997,1.97399999999993,0.868458651930578,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"196",99.2240000000002,89.473,7.74399999999991,1.96199999999999,0.867071381505699,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"197",115,102.737,10.1179999999999,2.10200000000009,0.865848933448787,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"198",86.6080000000002,76.9970000000003,7.59099999999989,1.97600000000011,0.857032844698245,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"199",935.539,905.635,27.6799999999998,2.18100000000004,0.8678069388372,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"200",1115.639,1081.92,30.8990000000003,2.76199999999972,0.871980002795008,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"201",1099.971,1067.497,30.308,2.1220000000003,0.867226177664252,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"202",945.241,914.543,28.625,2.01400000000012,0.868184689081201,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"203",986.136,956.476,27.4840000000004,2.04299999999967,0.866750290038711,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"204",1139.155,1106.749,30.2740000000013,2.08599999999933,0.864291950350567,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"205",10.934,2.178,6.742,1.954,0.792711410912749,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"206",10.86,2.164,6.709,1.965,0.779187824471283,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"207",10.725,1.964,6.758,1.98,0.767555464578232,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"208",10.645,1.874,6.788,1.961,0.7887419720027,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"209",10.764,1.968,6.788,1.985,0.795498198338378,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"210",10.68,1.89400000000001,6.78999999999999,1.974,0.779002278941652,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"211",43.158,23.221,17.824,2.09,0.784768185499736,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"212",39.248,20.633,16.566,2.012,0.79331111199291,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
