"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","cores","GBMemory","trainingExamples","spatialResolution","taxon","cells"
"147",5.21300000000065,0.233000000000175,3.02199999999993,1.89400000000023,0.735968856444619,1,4,20000,0.5,"Picea",35000
"148",5.84799999999996,0.329999999999927,3.54800000000068,1.88899999999921,0.728076006522012,8,16,30000,0.5,"Picea",35000
"149",5.71500000000015,0.599999999999454,3.07000000000062,1.97199999999975,0.744888998819371,1,4,30000,0.5,"Picea",35000
"150",5.78099999999995,0.324999999999818,3.52000000000044,1.85699999999997,0.743959711838601,8,16,30000,0.5,"Picea",35000
"151",5.45399999999972,0.375,3.07600000000002,1.93000000000029,0.745609632215933,1,4,30000,0.5,"Picea",35000
"152",5.9369999999999,0.330000000000837,3.4989999999998,2.02899999999954,0.740709002069089,8,16,30000,0.5,"Picea",35000
"153",5.58699999999953,0.369999999999891,3.01999999999953,2.11700000000019,0.7350067536908,1,4,30000,0.5,"Picea",35000
"154",5.9380000000001,0.445000000000618,3.49799999999959,1.89600000000064,0.74623723684497,8,16,40000,0.5,"Picea",35000
"155",5.78899999999976,0.394999999999527,3.16100000000006,2.15499999999975,0.743478667647458,1,4,30000,0.5,"Picea",35000
"156",6.03499999999985,0.58600000000024,3.48199999999997,1.87299999999959,0.742209197382681,8,16,40000,0.5,"Picea",35000
"157",5.72999999999956,0.367000000000189,3.23599999999988,2.05099999999948,0.731719030960866,1,4,30000,0.5,"Picea",35000
"158",5.98800000000028,0.570999999999913,3.42399999999998,1.90200000000004,0.73693444767419,8,16,40000,0.5,"Picea",35000
"159",5.25399999999991,0.361999999999171,2.96500000000015,1.85300000000007,0.737301976488998,1,4,30000,0.5,"Picea",35000
"160",6.09799999999996,0.594999999999345,3.54800000000068,1.85999999999967,0.735469499231356,8,16,40000,0.5,"Picea",35000
"161",5.48000000000047,0.470999999999549,3.04100000000017,1.89600000000064,0.738837798301347,1,4,30000,0.5,"Picea",35000
"162",5.98399999999947,0.585999999999331,3.47400000000016,1.82999999999993,0.741655607059357,8,16,40000,0.5,"Picea",35000
"163",5.38799999999992,0.3799999999992,3.01900000000023,1.90499999999975,0.742608819871336,1,4,30000,0.5,"Picea",35000
"164",6.02300000000014,0.574000000000524,3.51599999999962,1.84200000000055,0.735078527724325,8,16,40000,0.5,"Picea",35000
"165",5.29799999999977,0.364000000000487,3,1.85499999999956,0.738971527160252,1,4,30000,0.5,"Picea",35000
"166",6.03899999999976,0.581000000000131,3.51000000000022,1.85599999999977,0.741159734664655,8,16,40000,0.5,"Picea",35000
"167",5.28999999999996,0.355999999999767,2.98999999999978,1.86999999999989,0.737233048748116,1,4,30000,0.5,"Picea",35000
"168",6.00699999999961,0.579999999999927,3.47499999999945,1.85800000000017,0.741995867683709,8,16,40000,0.5,"Picea",35000
"169",5.65700000000015,0.604999999999563,3.04399999999987,1.91300000000047,0.733654888642153,1,4,40000,0.5,"Picea",35000
"170",5.72699999999986,0.603000000000065,3.05999999999949,1.97600000000057,0.740551991717909,1,4,40000,0.5,"Picea",35000
"171",6.0010000000002,0.587000000000444,3.46499999999924,1.85600000000068,0.744166876423522,8,16,40000,0.5,"Picea",35000
