"","numPredictors","trainingExamples","seconds","cost","accuracy","cores","GBMemory"
"70515",5,141,21.9644653294583,40.0552775534134,0.707811473473954,14,12
"7257",5,145,21.9507671478059,46.1888042324131,0.708955997685687,14,14
"300007",5,6000,7.81592890423973,18.6391146136747,0.742484266941675,14,16
"7357",5,147,21.9687150688535,58.5536556473167,0.706120123756076,14,18
"7107",5,142,21.9307283366488,64.6052939923669,0.705821579208655,14,20
"7207",5,144,21.9559361635918,70.8395106756593,0.706023911481074,14,22
"13058",5,261,21.9462580258682,9.89556774386396,0.729425783403403,15,2
"9608",5,192,21.9769900694933,16.5157080372242,0.711411782192334,15,4
"86016",5,172,21.9801442068054,19.8216940456971,0.710451249798497,15,5
"86017",5,172,21.9801442068054,23.12530971998,0.710451249798497,15,6
"7458",5,149,21.9995809003113,29.7588330838511,0.708628686886364,15,8
"70516",5,141,21.9644653294583,36.3138505291935,0.707811473473954,15,10
"70517",5,141,21.9644653294583,42.9163688072286,0.707811473473954,15,12
"7258",5,145,21.9507671478059,49.4880045347283,0.708955997685687,15,14
"300008",5,6000,7.81592890423973,19.9704799432229,0.742484266941675,15,16
"7358",5,147,21.9687150688535,62.736059622125,0.706120123756076,15,18
"7108",5,142,21.9307283366488,69.2199578489646,0.705821579208655,15,20
"7208",5,144,21.9559361635918,75.8994757239206,0.706023911481074,15,22
"13059",5,261,21.9462580258682,10.5552722601216,0.729425783403403,16,2
"9609",5,192,21.9769900694933,17.6167552397058,0.711411782192334,16,4
"86018",5,172,21.9801442068054,21.1431403154103,0.710451249798497,16,5
"86019",5,172,21.9801442068054,24.6669970346453,0.710451249798497,16,6
"7459",5,149,21.9995809003113,31.7427552894412,0.708628686886364,16,8
"70518",5,141,21.9644653294583,38.7347738978064,0.707811473473954,16,10
"70519",5,141,21.9644653294583,45.7774600610439,0.707811473473954,16,12
"7259",5,145,21.9507671478059,52.7872048370436,0.708955997685687,16,14
"300009",5,6000,7.81592890423973,21.3018452727711,0.742484266941675,16,16
"7359",5,147,21.9687150688535,66.9184635969334,0.706120123756076,16,18
"7109",5,142,21.9307283366488,73.8346217055622,0.705821579208655,16,20
"7209",5,144,21.9559361635918,80.959440772182,0.706023911481074,16,22
"130510",5,261,21.9462580258682,11.2149767763792,0.729425783403403,17,2
"96010",5,192,21.9769900694933,18.7178024421874,0.711411782192334,17,4
"86020",5,172,21.9801442068054,22.4645865851234,0.710451249798497,17,5
"86021",5,172,21.9801442068054,26.2086843493107,0.710451249798497,17,6
"74510",5,149,21.9995809003113,33.7266774950313,0.708628686886364,17,8
"70520",5,141,21.9644653294583,48.6385513148592,0.707811473473954,17,12
"72510",5,145,21.9507671478059,56.0864051393588,0.708955997685687,17,14
"3000010",5,6000,7.81592890423973,22.6332106023193,0.742484266941675,17,16
"73510",5,147,21.9687150688535,71.1008675717417,0.706120123756076,17,18
"71010",5,142,21.9307283366488,78.4492855621598,0.705821579208655,17,20
"72010",5,144,21.9559361635918,86.0194058204434,0.706023911481074,17,22
"130511",5,261,21.9462580258682,11.8746812926368,0.729425783403403,18,2
"96011",5,192,21.9769900694933,19.8188496446691,0.711411782192334,18,4
"86022",5,172,21.9801442068054,23.7860328548365,0.710451249798497,18,5
"86023",5,172,21.9801442068054,27.750371663976,0.710451249798497,18,6
"74511",5,149,21.9995809003113,35.7105997006214,0.708628686886364,18,8
"70521",5,141,21.9644653294583,43.5766206350322,0.707811473473954,18,10
"70522",5,141,21.9644653294583,51.4996425686744,0.707811473473954,18,12
"72511",5,145,21.9507671478059,59.385605441674,0.708955997685687,18,14
"3000011",5,6000,7.81592890423973,23.9645759318675,0.742484266941675,18,16
"73511",5,147,21.9687150688535,75.2832715465501,0.706120123756076,18,18
"71011",5,142,21.9307283366488,83.0639494187575,0.705821579208655,18,20
"72011",5,144,21.9559361635918,91.0793708687047,0.706023911481074,18,22
"130512",5,261,21.9462580258682,12.5343858088944,0.729425783403403,19,2
"96012",5,192,21.9769900694933,20.9198968471507,0.711411782192334,19,4
"86024",5,172,21.9801442068054,25.1074791245497,0.710451249798497,19,5
"86025",5,172,21.9801442068054,29.2920589786413,0.710451249798497,19,6
"74512",5,149,21.9995809003113,37.6945219062114,0.708628686886364,19,8
"70523",5,141,21.9644653294583,45.9975440036451,0.707811473473954,19,10
"70524",5,141,21.9644653294583,54.3607338224896,0.707811473473954,19,12
"72512",5,145,21.9507671478059,62.6848057439892,0.708955997685687,19,14
"3000012",5,6000,7.81592890423973,25.2959412614157,0.742484266941675,19,16
"73512",5,147,21.9687150688535,79.4656755213584,0.706120123756076,19,18
"71012",5,142,21.9307283366488,87.6786132753551,0.705821579208655,19,20
"72012",5,144,21.9559361635918,96.1393359169661,0.706023911481074,19,22
"130513",5,261,21.9462580258682,13.194090325152,0.729425783403403,20,2
"96013",5,192,21.9769900694933,22.0209440496323,0.711411782192334,20,4
"86026",5,172,21.9801442068054,26.4289253942628,0.710451249798497,20,5
"86027",5,172,21.9801442068054,30.8337462933066,0.710451249798497,20,6
"74513",5,149,21.9995809003113,39.6784441118015,0.708628686886364,20,8
"70525",5,141,21.9644653294583,48.418467372258,0.707811473473954,20,10
"70526",5,141,21.9644653294583,57.2218250763049,0.707811473473954,20,12
"72513",5,145,21.9507671478059,65.9840060463044,0.708955997685687,20,14
"3000013",5,6000,7.81592890423973,26.6273065909639,0.742484266941675,20,16
"73513",5,147,21.9687150688535,83.6480794961667,0.706120123756076,20,18
"71013",5,142,21.9307283366488,92.2932771319527,0.705821579208655,20,20
"72013",5,144,21.9559361635918,101.199300965227,0.706023911481074,20,22
"130514",5,261,21.9462580258682,13.8537948414095,0.729425783403403,21,2
"96014",5,192,21.9769900694933,23.1219912521139,0.711411782192334,21,4
"86028",5,172,21.9801442068054,27.750371663976,0.710451249798497,21,5
"86029",5,172,21.9801442068054,32.375433607972,0.710451249798497,21,6
"74514",5,149,21.9995809003113,41.6623663173916,0.708628686886364,21,8
"70527",5,141,21.9644653294583,50.8393907408709,0.707811473473954,21,10
"70528",5,141,21.9644653294583,60.0829163301201,0.707811473473954,21,12
"72514",5,145,21.9507671478059,69.2832063486197,0.708955997685687,21,14
"3000014",5,6000,7.81592890423973,27.9586719205121,0.742484266941675,21,16
"73514",5,147,21.9687150688535,87.8304834709751,0.706120123756076,21,18
"71014",5,142,21.9307283366488,96.9079409885504,0.705821579208655,21,20
"72014",5,144,21.9559361635918,106.259266013489,0.706023911481074,21,22
"130515",5,261,21.9462580258682,14.5134993576671,0.729425783403403,22,2
"96015",5,192,21.9769900694933,24.2230384545955,0.711411782192334,22,4
"86030",5,172,21.9801442068054,29.0718179336891,0.710451249798497,22,5
"86031",5,172,21.9801442068054,33.9171209226373,0.710451249798497,22,6
"74515",5,149,21.9995809003113,43.6462885229816,0.708628686886364,22,8
"70529",5,141,21.9644653294583,53.2603141094838,0.707811473473954,22,10
"70530",5,141,21.9644653294583,62.9440075839353,0.707811473473954,22,12
"72515",5,145,21.9507671478059,72.5824066509349,0.708955997685687,22,14
"3000015",5,6000,7.81592890423973,29.2900372500603,0.742484266941675,22,16
"73515",5,147,21.9687150688535,92.0128874457834,0.706120123756076,22,18
"71015",5,142,21.9307283366488,101.522604845148,0.705821579208655,22,20
"72015",5,144,21.9559361635918,111.31923106175,0.706023911481074,22,22
"130516",5,261,21.9462580258682,15.1732038739247,0.729425783403403,23,2
"96016",5,192,21.9769900694933,25.3240856570771,0.711411782192334,23,4
"86032",5,172,21.9801442068054,30.3932642034023,0.710451249798497,23,5
"86033",5,172,21.9801442068054,35.4588082373026,0.710451249798497,23,6
"74516",5,149,21.9995809003113,45.6302107285717,0.708628686886364,23,8
"70531",5,141,21.9644653294583,55.6812374780967,0.707811473473954,23,10
"70532",5,141,21.9644653294583,65.8050988377506,0.707811473473954,23,12
"72516",5,145,21.9507671478059,75.8816069532501,0.708955997685687,23,14
"3000016",5,6000,7.81592890423973,30.6214025796085,0.742484266941675,23,16
"73516",5,147,21.9687150688535,96.1952914205917,0.706120123756076,23,18
"71016",5,142,21.9307283366488,106.137268701746,0.705821579208655,23,20
"72016",5,144,21.9559361635918,116.379196110012,0.706023911481074,23,22
"130517",5,261,21.9462580258682,15.8329083901823,0.729425783403403,24,2
"96017",5,192,21.9769900694933,26.4251328595587,0.711411782192334,24,4
"86034",5,172,21.9801442068054,31.7147104731154,0.710451249798497,24,5
"86035",5,172,21.9801442068054,37.000495551968,0.710451249798497,24,6
"74517",5,149,21.9995809003113,47.6141329341618,0.708628686886364,24,8
"70533",5,141,21.9644653294583,58.1021608467096,0.707811473473954,24,10
"70534",5,141,21.9644653294583,68.6661900915659,0.707811473473954,24,12
"72517",5,145,21.9507671478059,79.1808072555654,0.708955997685687,24,14
"3000017",5,6000,7.81592890423973,31.9527679091567,0.742484266941675,24,16
"73517",5,147,21.9687150688535,100.3776953954,0.706120123756076,24,18
"71017",5,142,21.9307283366488,110.751932558343,0.705821579208655,24,20
"72017",5,144,21.9559361635918,121.439161158273,0.706023911481074,24,22
